"","x"
"354",1.10201231897413e-05
"355",1.10296723192379e-05
"356",1.10289229273453e-05
"357",1.10983134013423e-05
"358",1.1080766575028e-05
"359",1.11597777649562e-05
"360",1.11718157170166e-05
"361",1.11193646809666e-05
"362",1.11196364774088e-05
"363",1.11734739961278e-05
"364",1.11689263841794e-05
"365",1.11689202731066e-05
"366",1.11452601825055e-05
"367",1.11574674583315e-05
"368",1.1220503978483e-05
"369",1.12243592135695e-05
"370",1.12284386125218e-05
"371",1.12078698355695e-05
"372",1.10997758068898e-05
"373",1.11318958514959e-05
"374",1.11518209147608e-05
"375",1.11226627422084e-05
"376",1.11577905864669e-05
"377",1.12111386461306e-05
"378",1.12421256091895e-05
"379",1.12128881199165e-05
"380",1.11933886031496e-05
"381",1.12313571967355e-05
"382",1.12513719379508e-05
"383",1.13564701376182e-05
"384",1.13188609706139e-05
"385",1.1252235088103e-05
"386",1.12976136664919e-05
"387",1.12868492748762e-05
"388",1.1298744201562e-05
"389",1.13132960588275e-05
"390",1.14365463763287e-05
"391",1.14740975958514e-05
"392",1.14234545404474e-05
